[INFO 1:02:38 AM] miguelsolorio.symbols activated
[INFO 1:02:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:02:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:02:38 AM] symbols.files.associations changed, updating to undefined
[INFO 1:02:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:02:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:02:39 AM] symbols.files.associations changed, updating to undefined
[INFO 1:02:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:02:40 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:02:40 AM] symbols.files.associations changed, updating to undefined
[INFO 1:02:45 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:02:45 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:02:45 AM] symbols.files.associations changed, updating to undefined
[INFO 1:03:02 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:02 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:03:02 AM] symbols.files.associations changed, updating to undefined
[INFO 1:03:12 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:12 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:03:12 AM] symbols.files.associations changed, updating to undefined
[INFO 1:03:29 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:29 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:03:29 AM] symbols.files.associations changed, updating to undefined
[INFO 1:03:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:03:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:03:36 AM] symbols.files.associations changed, updating to undefined
[INFO 1:05:57 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:05:57 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:05:57 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:38 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:39 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:39 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:39 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:41 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:41 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:41 AM] symbols.files.associations changed, updating to undefined
[INFO 1:11:42 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:11:42 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:11:42 AM] symbols.files.associations changed, updating to undefined
