[INFO 12:10:22 AM] miguelsolorio.symbols activated
[INFO 12:10:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:22 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:23 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:23 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:23 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:24 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:45 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:45 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:45 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:46 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:46 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:46 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:54 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:54 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:54 AM] symbols.files.associations changed, updating to undefined
[INFO 12:10:55 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:10:55 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:10:55 AM] symbols.files.associations changed, updating to undefined
[INFO 12:11:08 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:11:08 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:11:08 AM] symbols.files.associations changed, updating to undefined
[INFO 12:11:09 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:11:09 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:11:09 AM] symbols.files.associations changed, updating to undefined
[INFO 12:11:12 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:11:12 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:11:12 AM] symbols.files.associations changed, updating to undefined
[INFO 12:11:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:11:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:11:13 AM] symbols.files.associations changed, updating to undefined
[INFO 12:11:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:11:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:11:13 AM] symbols.files.associations changed, updating to undefined
[INFO 12:13:55 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:13:55 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:13:55 AM] symbols.files.associations changed, updating to undefined
[INFO 12:13:56 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:13:56 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:13:56 AM] symbols.files.associations changed, updating to undefined
[INFO 12:14:13 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:14:13 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:14:13 AM] symbols.files.associations changed, updating to undefined
[INFO 12:15:03 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:15:03 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:15:03 AM] symbols.files.associations changed, updating to undefined
[INFO 12:15:58 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:15:58 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:15:58 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:11 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:11 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:11 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:26 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:27 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:27 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:27 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:31 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:31 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:31 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:36 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:36 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:36 AM] symbols.files.associations changed, updating to undefined
[INFO 12:16:46 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:16:46 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:16:46 AM] symbols.files.associations changed, updating to undefined
[INFO 12:19:37 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:19:37 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:19:37 AM] symbols.files.associations changed, updating to undefined
[INFO 12:19:38 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:19:38 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:19:38 AM] symbols.files.associations changed, updating to undefined
[INFO 12:21:04 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:21:04 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:21:04 AM] symbols.files.associations changed, updating to undefined
[INFO 12:21:56 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:21:56 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:21:56 AM] symbols.files.associations changed, updating to undefined
[INFO 12:22:01 AM] symbols.hidesExplorerArrows changed, updating to false
