[INFO 8:28:52 PM] miguelsolorio.symbols activated
[INFO 8:28:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:52 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:54 PM] symbols.files.associations changed, updating to undefined
[INFO 8:29:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:29:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:29:02 PM] symbols.files.associations changed, updating to undefined
[INFO 8:31:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:31:10 PM] symbols.files.associations changed, updating to undefined
[INFO 8:31:11 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:11 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:31:11 PM] symbols.files.associations changed, updating to undefined
[INFO 8:31:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:31:46 PM] symbols.files.associations changed, updating to undefined
[INFO 10:05:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:05:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:05:16 PM] symbols.files.associations changed, updating to undefined
[INFO 10:05:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:05:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:05:16 PM] symbols.files.associations changed, updating to undefined
[INFO 10:05:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:05:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:05:21 PM] symbols.files.associations changed, updating to undefined
[INFO 10:06:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:06:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 10:06:26 PM] symbols.files.associations changed, updating to undefined
