[INFO 12:58:20 AM] miguelsolorio.symbols activated
[INFO 12:58:20 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:58:20 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:58:20 AM] symbols.files.associations changed, updating to undefined
[INFO 12:58:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:58:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:58:21 AM] symbols.files.associations changed, updating to undefined
[INFO 12:58:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:58:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:58:26 AM] symbols.files.associations changed, updating to undefined
[INFO 12:58:31 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:58:31 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:58:31 AM] symbols.files.associations changed, updating to undefined
[INFO 12:59:25 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:59:25 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:59:25 AM] symbols.files.associations changed, updating to undefined
[INFO 1:00:15 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:00:15 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:00:15 AM] symbols.files.associations changed, updating to undefined
[INFO 1:00:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:00:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:00:21 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:03 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:03 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:03 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:24 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:24 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:26 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:26 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:26 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:26 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:33 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:33 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:33 AM] symbols.files.associations changed, updating to undefined
[INFO 1:01:46 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:01:46 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:01:46 AM] symbols.files.associations changed, updating to undefined
[INFO 1:02:33 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:02:33 AM] symbols.folders.associations changed, updating to undefined
[INFO 1:02:33 AM] symbols.files.associations changed, updating to undefined
