[INFO 4:31:05 PM] miguelsolorio.symbols activated
[INFO 4:31:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:31:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:31:05 PM] symbols.files.associations changed, updating to undefined
[INFO 4:31:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:31:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:31:06 PM] symbols.files.associations changed, updating to undefined
[INFO 4:31:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:31:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:31:06 PM] symbols.files.associations changed, updating to undefined
[INFO 4:31:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:31:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:31:18 PM] symbols.files.associations changed, updating to undefined
[INFO 4:34:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:34:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:34:18 PM] symbols.files.associations changed, updating to undefined
