[INFO 8:28:43 PM] miguelsolorio.symbols activated
[INFO 8:28:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:43 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:44 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:51 PM] symbols.files.associations changed, updating to undefined
