[INFO 8:22:46 PM] miguelsolorio.symbols activated
[INFO 8:22:46 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:22:46 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:22:46 PM] symbols.files.associations changed, updating to undefined
[INFO 8:22:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:22:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:22:48 PM] symbols.files.associations changed, updating to undefined
[INFO 8:23:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:23:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:23:14 PM] symbols.files.associations changed, updating to undefined
[INFO 8:23:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:23:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:23:38 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:05 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:05 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:05 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:20 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:26 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:27 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:28 PM] symbols.files.associations changed, updating to undefined
[INFO 8:24:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:24:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:24:48 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:02 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:07 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:07 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:07 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:09 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:09 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:09 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:55 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:55 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:55 PM] symbols.files.associations changed, updating to undefined
[INFO 8:25:57 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:25:57 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:25:57 PM] symbols.files.associations changed, updating to undefined
[INFO 8:26:20 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:26:20 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:26:20 PM] symbols.files.associations changed, updating to undefined
[INFO 8:27:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:27:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:27:37 PM] symbols.files.associations changed, updating to undefined
[INFO 8:31:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:31:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:31:39 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:39 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:40 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:43 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:44 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:44 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:44 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:48 PM] symbols.files.associations changed, updating to undefined
[INFO 8:43:49 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:43:49 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:43:49 PM] symbols.files.associations changed, updating to undefined
[INFO 8:53:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:53:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:53:54 PM] symbols.files.associations changed, updating to undefined
[INFO 10:47:23 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:47:23 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:47:23 AM] symbols.files.associations changed, updating to undefined
[INFO 10:47:24 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:47:24 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:47:24 AM] symbols.files.associations changed, updating to undefined
[INFO 1:00:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 1:00:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 1:00:08 PM] symbols.files.associations changed, updating to undefined
[INFO 7:48:39 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:48:39 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:48:39 PM] symbols.files.associations changed, updating to undefined
[INFO 7:48:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:48:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:48:40 PM] symbols.files.associations changed, updating to undefined
[INFO 8:07:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:07:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:07:43 PM] symbols.files.associations changed, updating to undefined
[INFO 8:07:48 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:07:48 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:07:48 PM] symbols.files.associations changed, updating to undefined
[INFO 8:08:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:08:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:08:10 PM] symbols.files.associations changed, updating to undefined
[INFO 8:08:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:08:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:08:10 PM] symbols.files.associations changed, updating to undefined
[INFO 8:08:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:08:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:08:34 PM] symbols.files.associations changed, updating to undefined
[INFO 8:08:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:08:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:08:42 PM] symbols.files.associations changed, updating to undefined
[INFO 8:08:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:08:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:08:47 PM] symbols.files.associations changed, updating to undefined
[INFO 8:09:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:09:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:09:00 PM] symbols.files.associations changed, updating to undefined
[INFO 8:09:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:09:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:09:01 PM] symbols.files.associations changed, updating to undefined
[INFO 8:09:04 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:09:04 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:09:04 PM] symbols.files.associations changed, updating to undefined
[INFO 8:09:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:09:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:09:08 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:35 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:35 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:35 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:35 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:37 PM] symbols.files.associations changed, updating to undefined
[INFO 8:28:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:28:51 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:28:51 PM] symbols.files.associations changed, updating to undefined
[INFO 8:32:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:32:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:32:01 PM] symbols.files.associations changed, updating to undefined
[INFO 8:32:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 8:32:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 8:32:02 PM] symbols.files.associations changed, updating to undefined
[INFO 9:52:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:52:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:52:13 PM] symbols.files.associations changed, updating to undefined
[INFO 9:52:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:52:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:52:15 PM] symbols.files.associations changed, updating to undefined
[INFO 9:52:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:52:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:52:54 PM] symbols.files.associations changed, updating to undefined
[INFO 9:53:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:53:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:53:23 PM] symbols.files.associations changed, updating to undefined
[INFO 9:53:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:53:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:53:25 PM] symbols.files.associations changed, updating to undefined
[INFO 9:56:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 9:56:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 9:56:42 PM] symbols.files.associations changed, updating to undefined
