[INFO 7:06:27 PM] miguelsolorio.symbols activated
[INFO 7:06:27 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:27 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:27 PM] symbols.files.associations changed, updating to undefined
[INFO 7:06:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:28 PM] symbols.files.associations changed, updating to undefined
[INFO 7:06:33 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 7:06:33 PM] symbols.folders.associations changed, updating to undefined
[INFO 7:06:33 PM] symbols.files.associations changed, updating to undefined
